Start Time (s),Duration (s),Text
0.48,7.68,ये मेरा तेरे दिल से जा मिला है रब से
5.64,6.52,जिसको मांगा
8.16,6.96,तूला है हमजा तुम्हें मेरी कसम मेरी कसम
12.16,5.959,घर चलो बस देख लिया यही दिखाना था मैंने
15.12,4.239,तुम्हें मेरी नाक के नीचे से ऊंट निकाला
18.119,7.041,है तूने
19.359,8.68,हाला धोखा दिया है मुझे धोखा धोखा धोखा ये
25.16,6.8,तुम्हारी वजह से रो रहा है मेरा
28.039,3.921,बेटा मेरी वजह से नहीं
32.68,7.559,जान आपकी वजह से आपका बेटा और बहू दोनों
37.52,5.76,रो रहे वसीयत कर रही हूं
40.239,7.241,बेटा अपना बच्चा खुद
43.28,9.4,पालना मां के अलावा और कोई नहीं पाल सकता
47.48,11.719,ये मेरा तेरे दिल से जा मिला है रब से
52.68,6.519,जिसको मांगा तू वो सला है
61.92,6.12,समीन मैंने दो तीन बार ट्राई किया आपने
65.0,5.24,मुझे कॉल बैक नहीं की आपका डिपार्टमेंट एक
68.04,4.439,विक के लिए बंद हुआ है हमें तो सर कोख
70.24,5.32,जाने की फुर्सत नहीं अब
72.479,5.801,अच्छा अच्छा एक बात
75.56,6.199,बताएं मेरा डिपार्टमेंट बंद है यह बात
78.28,7.479,आपने घर में किसी को बताई मेरा मतलब है कि
81.759,6.921,हां अम्मी को बताई थी क्यों नहीं बतानी
85.759,5.481,चाहि थी कोई मसला है नहीं नहीं वो
88.68,6.96,एक्चुअली घर में इतने टाइम से चक्कर नहीं
91.24,9.559,लगाया मैंने तो आंटी को में ख्याल आ रहा
95.64,10.4,होगा अच्छा घर में तो सब खैरियत है ना
100.799,8.92,कहां दादी की तत बहुत खराब है दादी
106.04,6.8,को उनकी तबीयत को क्या हुआ बस अचानक कुछ
109.719,3.891,समझ नहीं आया बहुत रो रही थी और नफीस चाचू
112.84,3.86,को याद कर रही
113.61,3.09,[संगीत]
117.079,7.68,थी अच्छा ठीक है ठीक है
121.079,5.561,ओके आप दादी की आदत को आएंगे ना उन्हें
124.759,9.081,ऐसी बातें बहुत अच्छी लगती
126.64,7.2,है जरूर जरूर मैं मैं आऊंगा ओके टेक केयर
158.12,4.56,हेलो
160.04,4.8,हेलो
162.68,6.47,दादी
164.84,7.36,जी नफीस आ गया
169.15,11.25,[संगीत]
172.2,8.2,हा आप सो जाए सब ठीक है बुला लो न इस को
182.239,3.681,अब सो जा
196.54,12.189,[संगीत]
211.76,3.79,[संगीत]
217.56,3.0,हो
220.97,14.529,[संगीत]
232.36,3.139,[प्रशंसा]
241.47,29.53,[संगीत]
273.81,36.64,[संगीत]
307.01,57.23,[प्रशंसा]
310.45,56.469,[संगीत]
364.24,7.04,आय टिकट ले लिया
366.919,8.201,उसने कब आएगा उसका जहाज अम्मा मेरा ख्याल
371.28,8.0,है वो कहीं बिजी है फोन नहीं उठा रहा
375.12,7.639,य सारी जिंदगी उसने ऐसे ही लारे लगाए हैं
379.28,5.6,ऐसे ही करता है और फिर अब आने का फायदा भी
382.759,7.241,क्या जो होना था वो तो हो
384.88,7.12,चुका क्या होना था क्या हुआ नहीं
390.0,6.25,मेरा मतलब है की
392.0,6.56,हालत अम्मा की ऐसी हालत पहले तो कभी नहीं
396.25,6.949,[संगीत]
398.56,8.84,हुई देखि रम आया है आपका हाल
403.199,10.44,पूछने सलाम वालेकुम कैसी तत आपकी वालेकुम
407.4,11.0,सलाम आओ मिया बैठो आओ नहीं सर मैं मैं ठीक
413.639,9.521,हूं मेरी तबीयत ठीक नहीं है तुम लोग जाओ
418.4,6.799,यहां से हां आराम करें बातों में हमें
423.16,6.039,ख्याल ही नहीं रहा चलो बाहर चल के बात
425.199,6.601,करते हैं अकल यही रुके मैं चलता हूं फिर
429.199,5.4,दोबारा हाजिर हो जाऊ मैं छोड़ आता हूं मैं
431.8,6.119,मैं चला जाऊंगा थैंक
434.599,3.32,यू खुदा
440.28,5.28,हाफिज
443.24,7.359,दमीन जी
445.56,7.759,दादी सोफिया जी ब
450.599,8.961,जलीस जी
453.319,9.201,मैं देखो बेटा मेरा चल चलाव का वक्त
459.56,5.3,है यह
462.52,4.679,लड़का कौन है यह
464.86,6.73,[संगीत]
467.199,7.361,लड़का मेरी बात मानो जली
471.59,8.729,[संगीत]
474.56,5.759,बेटा जमीन की मंगनी तोड़ दो सोफिया
484.27,4.049,[संगीत]
485.599,7.401,यह रिश्ता खत्म कर दे
488.319,4.681,बेटा वरना सब कुछ बर्बाद हो
495.68,6.32,जाएगा मेरा चल चला का वक्त है मतलब अगर
499.44,5.159,पता चल ही गया था तो बंदा नेकी की तरकीब
502.0,6.159,करता है रिश्ता खत्म करने की बात नहीं
504.599,5.641,करता आप इसे मेरी वहशत समझे मैं तो समझी
508.159,5.281,थी हालांकि कोई बची कुची अंगूठी देने की
510.24,6.039,बात कर रही है वो तो कुछ और ही बोली कि
513.44,7.039,जमीन का रिश्ता खत्म कर दो मंगनी तोड़ दो
516.279,6.24,आ बोलो सोफिया अमा की तबीयत खराब है वैसे
520.479,4.721,ही मुह से निकल गया होगा यही तो मैं कह
522.519,5.88,रही हूं यही मुह से निकला कलमा नहीं
525.2,4.72,निकलना चाहिए था रिश्ता खत्म कर दो मुझे
528.399,3.801,पागल कुत्ते ने काटा है मैं रिश्ता खत्म
529.92,5.56,करूंगी अच्छा यानी अगर पागल कुत्ते से
532.2,4.96,कटवा दिया जाए तो तुम रिश्ता खत्म कर दोगी
535.48,4.44,शाजान
537.16,4.84,भाभी क्या क्या कह रही है आप मैं थोड़ी कर
539.92,5.599,रही हूं तो तुम्हारी बीवी कर रही है
542.0,6.36,तुम्हें पता है 14 टीके लगते हैं पेट में
