Start Time (s),Duration (s),Text
0.48,8.4,ये मेरा तेरे दिल से जा मिला है रब से
5.64,5.999,जिसको मांगा
8.88,5.04,तूला चलो ठीक है भाई अगर तुम लोग मुतमइन
11.639,4.841,हो और तुम्हारी बेटी भी खुश है तो हम
13.92,5.48,क्यों कुछ कहेंगे जी जी भाईजान बहुत
16.48,5.92,मुतमइन है और हमारी बेटी भी हमारे कहे में
19.4,5.719,है आ जाएगी समझ क्योंकि तलाक का लफ तो
22.4,5.199,बहरी औरत को भी समझ आ जाता हैई जन आप
25.119,5.24,मुझसे बेहतर जानती है कि हमजा के मुंह से
27.599,4.601,य लज मेरे लिए कभी नहीं निकलेगा तोत फिर
30.359,5.081,क्यों बार-बार एक ही बात करके अपने आप को
32.2,6.519,अजियत में डालती मैं कह रही हूं ना तुम
35.44,3.279,मुझसे मेरा बेटा नहीं छीन
38.97,6.55,[संगीत]
41.16,9.12,सकती माला हां क्या हो गया कुछ भूत देख
45.52,10.8,रही हो तुम ये बैठ के पियो दिल ये मेरा
50.28,10.759,तेरे दिल से जा मिला है रब से जिसको मांगा
56.32,4.719,तू वो सिला है
69.68,3.96,अरे
70.84,6.639,वाह आप तो बड़ी फिल्मी मा
73.64,6.64,निकली पोते के आने की खुशखबरी का सुनके बह
77.479,4.96,के सारे गुनाह माफ कर दिए और उसकी सेवा
80.28,5.72,में लग गई अच्छा
82.439,7.961,बस तेरे मुह से यह बातें नहीं जच रही आप
86.0,7.79,भी नहीं जच रही है यह सब करती हुई हां
90.4,7.64,मैं तो आपको बड़ा मजबूत और बातिर समझती
93.79,6.21,[संगीत]
98.04,5.28,थी और
100.0,6.6,दादी देखा सबसे ज्यादा फिल्मी तो यह साबित
103.32,8.839,हुई ओवर नहीं लग
106.6,10.28,रही वैसे फिल्मी मा दो तरह की होती है एक
112.159,9.0,वह जो जिस बात में बह जाती है और दूसरी वो
116.88,4.279,जो सब कुछ बहा देती है
123.0,5.2,हाला से ब जाए तो मुझे भी दे दीजिएगा
126.2,6.36,थोड़
128.2,4.36,अनर वैसे कितने ड्रामे कर रही है
135.16,6.359,ना एक अनार और हम सब बीमार
141.85,9.23,[संगीत]
153.5,4.26,[संगीत]
155.04,5.839,ऐसी हमदर्दी और शफकत मैंने कभी रनी के लिए
157.76,7.32,भी रेस की आंखों में नहीं देखी जो आज हाला
160.879,7.44,के लिए थी है कि नहीं हाला के लिए नहीं थी
165.08,7.12,हाने वाले बच्चे के लिए
168.319,6.881,थी तलवे से चपकी हाला माथे का ूमर बन गई
172.2,6.679,है इस बच्चे की वजह से जो अभी दुनिया में
175.2,6.2,आया भी नहीं है जब आ जाएगा तो फिर हाला का
178.879,6.08,मकाम क्या होगा
181.4,4.73,नहीं नहीं नहीं ये नहीं हो सकता ये नहीं
184.959,5.901,हो
186.13,4.73,[संगीत]
196.02,7.38,[संगीत]
199.36,7.72,सकता मेरे ना तीन बेटे थे जाहिर है कि
203.4,7.119,बेटी की भी ख्वाहिश थी और फिर हमजा आ गया
207.08,8.0,और फिर समीन शुरू शुरू के दिन थे मिजाज
210.519,8.08,दार बहू अपनी मर्जी की मालिक और फिर रूम आ
215.08,6.96,गई ना उसका नाम मत ले इस शाहजन ने पता
218.599,7.401,नहीं उसको क्या घुट्टी दी थी मेरी गोद में
222.04,6.72,आकर ऐसा रोती थी ऐसा रोती थी जैसे कि मैं
226.0,4.68,चुटकियों काट रही हूं उसे शायद आप काटती
228.76,7.839,हो
230.68,10.6,दादी और फिर आ गई हाला और फिर पता चला कि
236.599,4.681,बेटी को रहमत क्यों कहते हैं
242.76,6.64,इधर हाला आ मैं तेरा माथा चूम दादी बुला
247.079,8.201,रही आ
249.4,10.079,जा क्या हुआ क्या हुआ हाला धर से टांग में
255.28,5.96,क्यों पता नहीं शायद नस खिच गई है मसला
259.479,5.481,क्या है मुझे बता
261.24,6.48,बेटा शायद दादी बल पड़ के आओ आओ चलो
264.96,5.88,डॉक्टर के पास चलो ना ना ना ना डॉक्टर के
267.72,5.64,पास जाने की कोई जरूरत नहीं है मैं ह ना
270.84,6.44,दादी दर्द हो रहा है डॉक्टर पर जाना जरूरी
273.36,6.399,अभी मालिश करूंगी बिल्कुल आराम आ जाएगा और
277.28,6.8,डॉक्टर डॉक्टर का नाम मत लेना डॉक्टर ने
279.759,7.601,तो खामखा में 15000 गोलिया दे देनी है
284.08,6.679,के लिए लेकिन दादी अच्छा बस चुप कर तू
287.36,7.679,नहीं बोलेगा यह मेरा और हाला का मामला है
290.759,5.081,हा मैंने तीन तीन बच्चे पैदा किए हैं पाला
295.039,5.641,है
295.84,8.32,उन्हें त बोलती क्यों नहीं है शाहजन
300.68,4.61,हा चल हाला मेरे साथ चल मैं अभी मालिश कर
304.16,12.979,देती हूं तेल
305.29,11.849,[संगीत]
321.759,8.081,की कहती तो नहीं
324.16,7.84,जाता नहीं मैं ठीक हूं कैसे ठीक ह ला दवाई
329.84,5.96,रही हो अपना ख्याल रखती हो ऐसे कैसे ठीक
332.0,6.8,होगा आ नाराज
335.8,3.0,हो
339.12,5.0,द मैं चके जाके
344.7,3.129,[संगीत]
351.16,15.96,[संगीत]
364.28,5.8,पपू की बातें तो तुम रहने ही दो फजूल के
367.12,5.04,देसी टोट के अरे खुद तो उन्होंने डॉक्टर
370.08,4.119,का मुंह देखे बगैर बच्चे पैदा किए थे 50
372.16,5.52,साल पहले कोई जरूरत नहीं है उनके पीछे
374.199,6.481,लगने की लेकिन दादी खफा होंगी अरे होने
377.68,4.88,दोने खफा मुझे बताओ अगर इतनी बुरी है
380.68,3.519,अंग्रेजी दवाएं तो खुद क्यों ंगती रहती है
382.56,4.24,सारा दिन
384.199,4.681,हम हमजा की बार तो फिर भी मैंने उनकी
386.8,4.399,बातें मानी थी लेकिन रूमी की दफा मैंने
388.88,4.24,अपनी मर्जी की अरे भा जिसे तकलीफ होती है
391.199,4.28,उसे ही पता होता है ना क्या करना है ठीक
393.12,4.799,है ना चलो तुम एक गोली तो मेरे सामने खाओ
395.479,7.361,अभी दूसरी शाम को खानी है
397.919,4.921,शाबाश एक फिर शाम को खा लेना याद
