Start Time (s),Duration (s),Text
0.48,9.68,ये मेरा तेरे दिल से जा मिला है रब से
5.64,10.0,जिसको मांगा तू हसला
10.16,9.119,[संगीत]
15.64,7.36,है तुम्हें कुछ कहने की जरूरत नहीं
19.279,6.721,ला तुम्हें डिस्क्राइब करने के लिए मुझे
23.0,3.0,लफ्जों की मदद नहीं
26.32,4.959,चाहिए मेरा यहां होना इस बात का सबूत है
29.199,6.88,कि मैं तुम्हारे बारे मैं क्या सोचता हूं
31.279,8.481,इससे बहुत बड़ी गलती हुई है गलती नहीं
36.079,7.881,गुनाह हां गुनाह
39.76,6.6,नहीं गुनाह अजीम गुनाह कबीरा बच्चा हाथ
43.96,4.2,में आते ही तुम्हें तो फारिग करेगा एक
46.36,6.359,मिनट में
48.16,7.52,नहीं हमजा ऐसा कभी नहीं करेगा कभी नहीं
52.719,5.881,मैं तुम्हे गुर की बात बताऊ तुम बच्चे को
55.68,4.29,लेकर अपने बाप के साथ चली जाओ वरना बच्चे
58.6,2.68,से हाथ धो बैठो
59.97,3.589,[संगीत]
61.28,8.159,नहीं
63.559,11.641,नहीं मरियम ये मेरा तेरे दिल से जा मिला
69.439,7.601,है रब से जिसको मांगा तू वो सिला है मैं
75.2,3.88,आपसे वादा करता हूं इससे कोई ज्यादती नहीं
77.04,3.8,होगी मैं अभी और इसी वक्त इसको घर ले जाने
79.08,5.98,को तैयार हूं चलो
80.84,11.38,ला चलो ला
85.06,7.16,[संगीत]
96.119,8.801,नहीं अरे साथ कभी नहीं
100.479,7.0,जांगी ला क्या ला हां क्या
104.92,3.839,ला तुम्हारे साथ चली जाऊ ताकि तुम मेरा
107.479,5.0,बच्चा छीन
108.759,8.161,लो ताई जान ने सब बता दिया है
112.479,7.721,मुझे कि तुम मुझे बहला फुसला कर धोखे में
116.92,5.61,रखो और फिर बीवी के होते ही तुम मुझे छोड़
120.2,5.379,दोगे और मुझसे मेरा बेबी ले
122.53,3.049,[संगीत]
126.2,4.199,लोगे तुम मुझे क्या छोड़ोगे
136.4,9.839,हमजा उससे पहले मैं तुम्हें छोड़ दूंगी ये
140.2,11.24,इश्क तुम ना करना ये रोग ही लगाए दफन खुद
146.239,10.441,करे है फिर शौक भी मनाए ये इश्क तुम ना
151.44,5.24,करना ये रोग ही लगाए
158.32,24.64,[संगीत]
185.52,3.109,[संगीत]
195.84,29.15,[संगीत]
226.12,8.679,ओ इस कदर सुकून से बैठी हो तैयार नहीं हुई
229.76,7.72,हो तैयार क्यों होना जाना नहीं है
234.799,5.321,कहां तुम्ही ने कहा था कि तुम्हारी दोस्त
237.48,5.52,की तरफ जाना है रूमी के लिए
240.12,5.199,बस मैं 10 मिनट में तैयार होके आई 10 मिनट
243.0,2.319,दे दे
257.079,6.481,मुझे सब कुछ तय हो चुका है इनके
