Start Time (s),Duration (s),Text
0.48,8.64,ये मेरा तेरे दिल से जा मिला है रब से
5.64,6.8,जिसको मांगा
9.12,7.239,तू तुम्हारी शारक पर कोई खंजर की नोक भी
12.44,8.28,रख दे ना तब भी तुम हाला का नाम अपने बेटे
16.359,7.24,के साथ नहीं जोड़ सकती बस यह जान लो तुम
20.72,5.559,इस वक्त नफरत के आतिश विशा के दहाने पर
23.599,5.361,बैठी हो जो किसी वक्त भी तुम्हें जलाकर
26.279,6.721,राग कर सकता
28.96,7.96,है मैं इस गलतफहमी में जिंदा रह सकता
33.0,6.76,हूं क्या आप अपने आवाज खो बैठी हैं रम
36.92,5.21,देखो ऐसी बातें नहीं
39.76,3.799,करो तो पहले की बात
42.13,5.589,[संगीत]
43.559,4.16,थी मेरी ना समझी
49.16,7.76,का अब मैं जिंदगी में आगे बढ़ चुकी हूं
53.32,7.16,तुम भी तो बर चुके हो समीन के साथ ये मेरा
56.92,6.72,तेरे दिल से जा मिला है
60.48,7.639,रब से जिसको मांगा
63.64,8.28,त है वैसे ही अगर
68.119,3.801,तुम बच्चे को मरता
78.24,5.08,देखो कल तुम्हारे साथ यही होना था अगर मैं
81.52,5.639,इकरार कर
83.32,7.4,लेता एक बर में तुम्हारा सर धड़ से अलग हो
87.159,7.64,जाता पर नहीं
90.72,4.079,जबक तुम्हारे नखरे पर आधी छुरी
94.96,5.68,फेर तुम्हें तड़पने का मजा लेना है मुझे
101.33,7.12,[संगीत]
116.44,14.3,[संगीत]
134.08,3.119,[संगीत]
138.44,6.36,तुम्हें क्या हुआ है काप क्यों रही हो
142.44,5.519,क्या हुआ कोई भूत देख
144.8,3.159,लिया क्या
148.28,6.03,हुआ शैतान
151.36,6.519,शैतान देख तोज
154.31,3.569,[संगीत]
158.76,4.44,बला पता नहीं अल्लाने चुन चुन के पागल
162.0,6.04,डाले इस
163.2,4.84,घर कहां चली गई ये
168.4,15.67,[संगीत]
186.08,8.12,जबक तुम्हारे नखरे पर आधी छुरी तुम्हें
189.879,4.321,तड़पने का मजा लेना है मुझे
197.59,9.74,[संगीत]
212.35,12.289,[संगीत]
227.04,2.98,प
228.57,4.56,[संगीत]
230.02,6.369,[हंसी]
233.13,3.259,[संगीत]
237.28,4.44,चाहिए शैतान फिर से आ गया
244.68,5.04,शैतान मेरी जिंदगी में फना फैलाने आ
250.64,9.08,[संगीत]
254.799,7.601,ग य फि या फिर आप मुझे मेरे झूठ बोलने की
259.72,2.68,सजा दे
262.52,8.36,रहे मुझे माफ कर दे मैं और क्या करती मैं
267.4,3.48,और क्या करती
272.24,6.2,मुझे माफ कर दे मुझे माफ कर दे मैं आज के
275.36,6.44,बाद कभी झूठ नहीं बोलूंगी उसको दूर ले जाए
278.44,6.479,उसको दूर ले जाए मुझसे मैं आज की बार कभी
281.8,6.239,झूठ नहीं बोलूंगी कभी झूठ नहीं बोलूंगी
284.919,5.961,प्लीज उसको दूर ले जा उसको दूर ले जा उसको
288.039,7.361,दूर ले जा उसको दूर ले
290.88,4.52,जा मुझे माफ कर दे मुझे
296.32,3.43,माफ
297.84,4.12,ला क्या हुआ तुम
299.75,4.37,[संगीत]
301.96,3.6,क्या हुआ किससे बातें कर रही हो किसी से
304.12,3.88,नहीं कुछ
305.56,4.72,नहीं क्या मतलब किसी से नहीं मैंने खुद
308.0,5.479,सुना है तुमहे आला बातें करते
310.28,5.96,हुए क्या सुना है
313.479,5.44,तुमने तुम अपने आप से बातें कर रही थी आला
316.24,2.679,रो रही थी
319.479,6.481,क्यों अपने आप से नहीं आला मया से बात कर
323.759,2.201,रही
327.28,6.479,थी अल्लाया से क्या बात करही थी जो
331.08,2.91,अलामीया से बात करते हैं वो किसी को बताते
333.759,4.87,नहीं
333.99,4.639,[संगीत]
341.039,7.801,है वो तो ठीक है आला लेकिन क्या हो गया
