Start Time (s),Duration (s),Text
0.12,10.28,दिल ये मेरा तेरे दिल से जा मिला है रब से
5.6,8.159,जिसको मांगा तू हसला है और तुम हर
10.4,5.799,छोटी-छोटी बात पर रोना बंद करो जब तुम्हें
13.759,6.001,अपना घर बना कर दूंगा ना तो जो दिल में आए
16.199,8.521,वो करले ओके ना
19.76,8.24,करर हमारा घर और कौन सा हम दोस्त
24.72,6.039,हैं इत्तेफाकन मिलने वालों को पीछे थोड़ी
28.0,4.8,लगाया जाता है नहीं नहीं बेटा अब ऐसी क्या
30.759,4.521,बात है ऐसे कोई बात नहीं है इतना एहसान है
32.8,4.8,तुम्हारा हम पर तुम बिल्कुल पोस्ट नहीं
35.28,5.2,करोगे ये कार्ड मेरे हाथ में आके दोगे
37.6,4.959,समझे इतनी मेहनत कर रहा है वो अपना बिजनेस
40.48,6.2,यहां एस्टेब्लिश करने में दिमाग खराब है
42.559,6.52,उसका मुल्क छोड़ के चला जाएगा और रही हाला
46.68,7.08,तो उसकी इतनी औकात नहीं है कि मेरे बेटे
49.079,12.001,को साथ ले जा सके ये मेरा तेरे दिल से जा
53.76,24.77,मिला है रब से जिसको मांगा तू वो सला है
61.08,18.679,[संगीत]
78.53,4.07,[प्रशंसा]
79.759,5.921,क्या समझती हो तुम क्या समझती हो तुम तुम
82.6,6.12,मुझसे मेरा बेटा छीन कर ले जाओगी नहीं
85.68,5.759,नहीं नहीं ताई जान किसी गलत में मत रहना
88.72,4.0,पतंग जितनी ंची उड़ती है ना उतनी ही जल्दी
91.439,4.601,कटती
92.72,6.32,है मुझे समझ नहीं आ रही आप क्या कह रही आ
96.04,5.27,जाएगी समझ आ जाएगी समझ क्योंकि तलाक का
99.04,4.759,लफ्ज तो बहरी औरत को भी समझ आ जाता
101.31,6.61,[संगीत]
103.799,6.721,है भाई जनाब मुझसे बेहतर जानती है कि हमजा
107.92,5.28,के मुह से य लज मेरे लिए कभी नहीं
110.52,5.279,निकलेगा तो फिर क्यों बारबार एक ही बात
113.2,5.199,करके अपने आपको को अजियत में डालती मैं कह
115.799,5.6,रही हूं ना तुम मुझसे मेरा बेटा नहीं छीन
118.399,3.0,सकती
124.46,4.03,[संगीत]
137.959,5.401,तलाक का लफ तो बहरी औरत को भी समझ आ जाता
140.36,3.0,है
153.56,3.0,ला
157.8,6.68,सरप्राइज कभी तो खोल के मुस्कुरा लिया
160.76,5.72,करो इधर आओ इधर आओ
164.48,6.01,इधर जल् आ
166.48,4.01,[संगीत]
170.879,3.801,ना आई
176.159,5.0,सरप्राइज मेरे पास एक ऐसी चीज है जो इन
178.599,4.511,उदास में मुस्कुरा
181.159,4.321,कर ऐसा क्या
183.11,5.47,[संगीत]
185.48,14.909,है खुद ही देख
188.58,11.809,[संगीत]
201.04,4.73,लो मुझे कुछ समझ नहीं आ रहा हम लंडन जा
205.519,1.881,रहे
205.77,5.05,[संगीत]
207.4,6.44,हैं तुम्हारे डैड के पास लंदन जा रहे
210.82,5.18,[संगीत]
213.84,5.36,हैं
216.0,6.04,लंडन नफीस जाचू के पास
219.2,7.319,आला गोइंग टू
222.04,7.24,लंडन तुम मजाक कर रहे हो ऐसे नहीं हो सकती
226.519,4.121,ये देखो खुद पढ़ लो एंबेसी से तुम्हारी
229.28,5.959,इंटरव्यू कॉल आई
230.64,4.599,है आई एम टेकिंग यू टू लंडन
235.76,5.479,आ
237.68,7.77,किधर मैं दादी को बता कती हूं ना कि मैं
241.239,7.161,डैड के पास जा रही हूं मैं मैं आती
245.45,6.47,[संगीत]
248.4,3.52,हूं दादी
252.21,10.989,[संगीत]
260.56,4.6,दादी मैं तो कम से कम तुम्हें कभी इस बात
263.199,5.241,की इजाजत नहीं दे सकता कि तुम उसको लेकर
265.16,5.68,चले जाओ तुम्हें पाला पोसा जवान किया इसका
268.44,4.72,मतलब यह थोड़ा है कि तुम शादी करो और बस
270.84,4.6,बीवी के पल्लू से बन जाओ यार आप गलत समझ
273.16,6.08,रहे हैं आपको मैं लंडन जरूर जा रहा हूं
275.44,7.599,लेकिन सिर्फ हाला को नफीस चाचू से मिलवाने
279.24,6.959,मिलवाने जी मिलवाने पागल हो गए हो तुम
283.039,6.6,नफीस कहां रहता है यार यही कहीं लालू खेत
286.199,6.801,में गुलशन में रहता है लंडन रहता है भाई
289.639,4.801,लंडन समझते हो ना ऑफकोर्स समझता हूं लेकिन
293.0,5.56,यह हाला की ख्वाहिश है और मुझे उसकी
294.44,6.36,खवाहिश कमाल है हाला की ख्वाहिश है मेरे
298.56,5.199,सामने तो कभी उसने तरह की हिश का इजहार
300.8,6.32,नहीं किया आज तक क्यों बैठे बिठाए उसे
303.759,5.961,एकदम बाप की याद सताने लगी यार नहीं नहीं
307.12,4.76,ऐसा हरगिज नहीं हो सकता बहरहाल तुम उसकी
309.72,5.479,इस तरह की फजूल ख्वाहिश पूरी करने के लिए
311.88,6.28,इतने पैसे बर्बाद नहीं कर सकते आप मेरी
315.199,4.921,बात मैं समझ रहा हूं तुम्हारी बात लड़की
318.16,5.08,की शादी हो जाती है तो अपने ससुराल को
320.12,6.4,देखे अब भाग भाग के उसको बाप की याद आ रही
323.24,6.6,है तुम हो के बस इतना भी क्या जन मुरीद हो
326.52,4.959,गया यार इंसान मैं जन मुरीद नहीं लेकिन आप
329.84,5.199,संग दिल जरूर हो रहे हैं और आप जानते हैं
331.479,5.481,कि हालांकि ये ख्वाहिश बिल्कुल सही है
