Start Time (s),Duration (s),Text
0.12,8.439,दिल ये मेरा तेरे दिल से जा मिला है रब से
5.64,7.4,जिसको मांगा
8.559,7.8,तू र्रम याद है ना हमजा ने ना मेरी बात का
13.04,4.96,यकीन नहीं किया सबूत इकट्ठा करने में जरा
16.359,4.76,टाइम लगता
18.0,6.56,है मैं तो कोशिश कर रही हूं गवाही पेश कर
21.119,5.881,दूं ला मेरी मां है वो बहुत प्यार करता
24.56,4.68,हूं बहुत इज्जत करता हूं उनकी आई नो बहुत
27.0,5.64,जगह प गलत होती है लेकिन मैं उन्हें
29.24,7.28,क्वेश्चन नहीं कर स सता यार मां है मेरी व
32.64,7.8,हमेशा सोचती थी वो कैसी सासे होंगी जो
36.52,7.12,बहुओं को जिंदा जला देती है बड़े जिगरे का
40.44,6.56,काम है वही लेकिन अब सोचती हूं मेरे जैसी
43.64,9.84,मजबूर होती होंगी है
47.0,13.28,ना दि ये मेरा तेरे दिल से जा मिला है रब
53.48,6.8,से जिसको मांगा तू वो सला है
62.8,5.72,बस बेचा
65.52,3.0,बस
71.119,6.721,लो मुझे छोड़ कर चली गई मैं
74.24,6.4,तो तो अकेला रह गया इस दुनिया में अरे ऐसे
77.84,6.239,कैसे अकेले रह गए हो मैं हूं ना तुम्हारे
80.64,7.439,साथ मा सके जा दोबारा कभी ऐसी बात अपनी
84.079,4.0,जुबान प ना लाना बेटा
90.88,7.32,आप है
92.079,10.441,ना सॉरी रामा बिल्कुल भी काम नहीं कर रहा
98.2,9.16,शफक शफक बेटा बेटा खाना लगा दो खुरम के
102.52,10.95,लिए जी अम्मी लग गया आ जा बेटा थोड़ा सा
107.36,18.239,खाना खा फिर आराम कर लेना आ आओ मेरा बेटा
113.47,12.129,[संगीत]
129.319,8.121,खा मेरा बे खाना खा लो आराम से शक तुम
133.319,7.601,इसका बिस्तर लगा दो थोड़ा सा आराम कर ले
137.44,6.12,पहले मां की बीमारी फिर फिर उनके चले जाने
140.92,5.64,के सद मेंे ने इसको तोड़ दिया है जाओ मेरा
143.56,3.0,ब
147.3,6.659,[संगीत]
150.92,6.039,फंक्शन क्या मिल बैठने का बहाना है बस कोई
153.959,6.401,जरूरत नहीं है अम्मा आगे आपकी खुशी की
156.959,6.041,खातिर मैंने लाखों रुपए खर्च किए वलीम प
160.36,6.64,बस रस्म तो होगी रईस मैंने कह दिया है ना
163.0,6.239,क्या है अ ये सकुम वालेकुम अस्सलाम
167.0,6.12,वालेकुम अस्सलाम मैं जा रहा हूं अम्मा
169.239,7.401,खुदा हाफिज खुदा हाफिज खुदा हाफिज दादी
173.12,7.039,आपने बुलाया था हां बस यह कहना था कि आज
176.64,4.92,शाम को जरा जल्दी आ जाना हाला का खीर में
180.159,5.521,हाथ डलवाना है
181.56,7.92,आज हाथ खीर में आनाज निक नहीं हो जाएगा
185.68,7.32,दादी चम्मच वुड बी अ बेटर आइडिया य अल्लाह
189.48,7.56,क्या हो गया तुझे पागल ना हो तो अरे बेटा
193.0,6.4,महावरा है ये जब नई दुल्हन घर आती है ना
197.04,7.68,तो पहली दफा जब वो मीठा पकाती है उसको
199.4,7.88,कहते हैं ये ओ हां तो इस पूरी रसम में
204.72,6.239,एटली मैंने क्या करना है खीर में दुल्हन
207.28,6.64,के लिए तोहफा लाना है उसको तोहफा देना है
210.959,5.041,ये अच्छी बात है फिर मैं जाऊं मेहनत
213.92,6.44,मजदूरी करूं कुछ पैसे कमाऊ ताकि तोहफे के
216.0,6.12,लिए पैसे कट हो वैसे चाहिए क्या आपको तोफ
220.36,5.76,नहीं
222.12,8.28,नहीं चले मैं जा रहा खुदा
226.12,6.92,हाफिज हा है बेवकूफ ना हो बताया क्यों
230.4,2.64,नहीं उसको
234.72,9.079,ी क्या जरूरत है रसन वगर जरूरत क्यों नहीं
