Start Time (s),Duration (s),Text
0.16,8.08,तारक मेहता का उल्टा चश्मा।
5.359,5.681,अच्छा बीड़े भाई थैंक यू। अरे थैंक यू
8.24,6.88,भागा। थैंक यू। मेरे सर से बहुत बड़ा टेंशन
11.04,4.08,उतार दिया तुमने। चलता हूं।
16.199,10.031,चलिए चलो भाई चलो।
19.96,10.6,चलो चलता हूं मेरे भाई। ओके। चलो चलो चलो।
26.23,7.849,[संगीत]
30.56,6.11,गणपति बाप्पा बाघ और नींबू को उनकी मंजिल
34.079,9.601,तक सही सलामत पहुंचा देना।
36.67,9.97,[संगीत]
43.68,5.359,ये भागा फ़ क्यों नहीं उठा रहा है? कहां रह
46.64,6.8,गया ये? अब पेमेंट लाने में इतना टाइम
49.039,6.321,थोड़ी लगता है। आओ भाई आओ आओ आओ आओ। ए भाई
53.44,3.52,एक मिनट से जी एक मिनट। आओ रख दो रख दो
55.36,5.08,इधर रख दो भाई। चलो जल्दी जल्दी रख दो रख
56.96,3.48,दो शाबाश
64.799,4.081,बागा कब से फ़ोन कर रहा हूं तू फ़ोन क्यों
66.799,6.161,नहीं उठा रहा है और ये सब क्या है बताता
68.88,7.36,हूं सेठ जी एक ₹50 छुट्टी दीजिए ना क्यों
72.96,3.28,बताता हूं दीजिए
77.72,10.439,ना चलो थैंक यू लो भाई थैंक यू हां
84.88,6.16,क्या ये साहब बताता हूं सेठ जी। अरे क्या
88.159,6.801,कब से बताता हूं बताता हूं। लगा रखा है।
91.04,3.92,जल्दी बता इसमें क्या है?
96.439,7.761,नींबू क्या? नींबू नींबू लेमन पीले पीले
100.32,3.88,नीड़ा नींबड़ा नींबूड़ा।
104.4,7.48,नींबू मतलब मैं समझा। लेकिन ये इतने सारे
107.84,8.959,नींबू तू क्यों लेके आया? बताता हूं सेठ
111.88,7.48,जी। सॉरी सॉरी सॉरी। सेठ जी आपको जब पता
116.799,5.36,चलेगा कि मैं यह सारे नींबू क्यों लेकर
119.36,4.84,आया हूं और कितने में लेकर आया हूं तो आप
122.159,5.681,एकदम खुशम खुश हो
124.2,6.32,जाएंगे। मुझे शाबाशी देंगे कहेंगे वाह
127.84,6.479,बागा वाह क्या दिमाग पाया है
130.52,7.24,तूने। आपको पता है सेठ जी ये सारे नींबू
134.319,7.041,मैं आधे भाव में खरीद के लाया हूं। अरे पर
137.76,6.16,क्यों लेके आया है तू नींबू यहां?
141.36,5.599,सस्ते नींबू को महंगे भाव में बेचकर
143.92,5.12,प्रॉफिट कमाने हैं। बेचने के लिए हमारे
146.959,4.481,"पास बहुत कुछ है। टीवी, फ्रिज, वाशिंग"
149.04,5.36,मशीन वो सब छोड़ के तुझे नींबू क्यों
151.44,6.4,बेचने है? क्योंकि सेठ जी एस ऑफ नाउ ये
154.4,6.16,सारे नींबू हॉट सेलिंग आइटम है। दुकान के
157.84,6.479,बाहर ठेला लगाऊंगा तो ये सारे नींबू यूं
160.56,6.64,बिक जाएंगे। भागा खबरदार अगर तूने दुकान
164.319,6.801,के बाहर ठेला लगाया है तो। अरे बेइज्जती
167.2,6.16,करवाएगा मेरी। अरे इसमें बेइज्जती क्या?
171.12,3.92,अरे लोग तो यही सोचेंगे ना कि हमारा गड्ढा
173.36,6.08,इलेक्ट्रॉनिक्स चल नहीं रहा है। इसलिए अभी
175.04,8.479,जेठालाल गड़ा नींबू बेचने पे आ गया है।
179.44,7.68,सेठ जी कैसे भी करके हमें ये नींबू बेचने
183.519,6.64,तो पड़ेंगे ही। नींबू बेचने तो पड़ेंगे ही
187.12,4.96,मतलब। अगर नहीं बेचेंगे तो आपका ही नुकसान
190.159,5.681,होगा।
192.08,7.2,मैं कैसे? ये सारे नींबू का पेमेंट आपने
195.84,3.44,ही किया है।
199.84,8.399,कब वाया गुप्ता जी हैं? आपने मुझे वो
204.64,8.36,गुप्ता जी के यहां जो पेमेंट लेने भेजा था
208.239,4.761,उसी पेमेंट से ये नींबू
213.879,6.28,पापा ये क्या किया तूने? और ऐसा करने से
218.0,4.4,पहले तूने मुझसे पूछा क्यों नहीं? आपको
220.159,4.64,सरप्राइज देने के लिए।
222.4,5.04,मैंने सोचा ज्यादा प्रॉफिट का आईडिया
224.799,4.561,सुनकर आप मुझ पे एकदम खुश हो जाएंगे। नहीं
227.44,3.92,भाई नहीं मुझे नींबू नहीं बेचना है। तू
229.36,4.4,जहां से भी ये नींबू लेके आया वहां वापस
231.36,4.959,देके आ और मेरे पैसे वापस लेके आ। सेठ जी
233.76,6.16,सेठ जी मेरी बात सुनिए। आप जरा ठंडे दिमाग
236.319,6.881,से सोचिए। देखिए क्या है? अभी ये सारी
239.92,5.8,लेवरदेवर तो हो गई है। मुझे थोड़ा टाइम
243.2,5.599,दीजिए। मैं ये सारे नींबू फटाफट बेच
245.72,5.12,दूंगा। इसमें ही आपका और भड़े भाई दोनों
248.799,5.201,का फायदा है।
250.84,8.959,भड़े इसमें भिड़े कहां से आया? उन्हीं के
254.0,5.799,पास से तो खरीद के लाया हूं। क्या
262.4,5.2,ये भीड़े जितना भोला दिखता है उतना है
264.72,6.88,नहीं। हम पर अभी थोड़ी देर पहले उसका मुझे
267.6,6.319,फोन आया था। कि नींबू तुम मुझसे खरीद लो।
271.6,4.8,मैंने उसको साफ-साफ मना किया तो उसने तुझे
273.919,5.521,"पकड़ा। नहीं नहीं सेठ जी, उन्होंने मुझे"
276.4,5.28,नहीं पकड़ा। मैंने उन्हें पकड़ा। तो तुझे
279.44,4.479,कैसे पता उसके पास चार गोने नींबू है? तो
281.68,4.72,क्या हुआ सेठ जी? दरअसल भड़े भाई का मुझे
283.919,4.961,फोन आया। उन्हें यह जानना था कि मेरी
286.4,5.359,पहचान में अगर कोई हो जो ये सारे नींबू
288.88,6.16,खरीद ले। हां। वो मार्केट से आधे भाव में
291.759,6.241,बेचने को तैयार थे। हां। तो मैंने सोचा
295.04,5.68,"अरे वाह, यह तो पैसे कमाने का मस्त मौका"
298.0,5.36,"है। तो मैंने बीड़े भाई से कहा, ""मेरी"
300.72,5.12,"पहचान में क्या बीड़े भाई, मैं हूं ना। मैं"
303.36,4.24,खुद आकर आपके यहां से सारे नींबू खरीद
305.84,4.079,"लेता हूं।"""
307.6,5.2,मुझे कोई नींबू नहीं खरीदने हैं। तू यह
309.919,5.441,नींबू अभी के अभी उसको वापस देके आ। अभी
312.8,5.52,के अभी अभी के अभी मुझे मेरे गोडाउन में
315.36,4.96,ये नींबू चाहिए ही नहीं। अरे किसी ने इतने
318.32,4.319,सारे नींबू मेरे गोडाउन में देख लिए तो
320.32,4.96,सोचेंगे कि मैं यहां गोडाउन में जमाखोरी
322.639,4.881,कर रहा हूं नींबू की। पर कहीं पुलिस की
325.28,4.479,रेड पड़ गई तो लेने के देने पड़ जाएंगे।
327.52,5.84,नहीं नहीं सेठ जी आप ओवर रिएक्ट कर रहे
329.759,6.561,हैं। ऐसा कुछ नहीं होगा। अरे क्या कुछ
333.36,4.96,नहीं होगा। भूल गया तू। कुछ साल पहले
336.32,4.24,नींबू की तरह प्याज महंगे हो गए थे और
338.32,4.319,तूने गोडाउन में प्याज छुपाए थे और पुलिस
340.56,4.8,की रेट पड़ी थी तब कितनी तकलीक हुई थी
342.639,6.521,मुझे? वो प्याज मैंने नहीं छुपाए थे।
345.36,7.839,बावरी जी ने छुपाए थे। अरे जिसने भी छुपाए
349.16,6.92,हो। तकलीक तो मुझे पड़ी थी ना। इसलिए मुझे
353.199,5.28,मेरे गोडाउन में ये नींबू चाहिए ही नहीं।
356.08,5.92,अभी कभी ये सारे नींबू को यहां से गेट आउट
358.479,6.72,कर। गेट आउट कर। ठीक है। मैं ये सारे
362.0,6.8,नींबू बीड़े भाई को वापस दे देता हूं।
365.199,7.28,लेकिन सेठ जी आप प्लीज जरा भड़े भाई को फोन
368.8,7.36,करके बता देंगे कि सारे नींबू वापस ले ले
372.479,6.961,और सारे पैसे वापस दे दे। सॉरी तूने यह
376.16,6.0,सौदा मुझे पूछ के किया था? नहीं ना? तो
379.44,5.92,सैद्धांतिक तरीके से मैं इसमें बीच में पड़
