Start Time (s),Duration (s),Text
0.16,5.719,तारक मेहता का उल्टा चश्मा
8.96,3.24,ठीक है
14.41,6.47,[संगीत]
16.96,5.6,चाचा जी और रिस्पेक्टेड लेडीज चाचा जी
20.88,3.92,किधर दिखाई नहीं दे रहे ये क्या है यहां
22.56,6.16,पे
24.8,7.12,ओ मंकी कैप में नमस्ते नमस्ते चाचा जी
28.72,6.72,रिस्पेक्टेबल लेडी लेडीज नमस्ते। देखो
31.92,7.4,पांडे बेटा मैंने तय किया है कि आज की रात
35.44,3.88,ये दरवाजा नहीं खुलेगा।
39.44,6.08,इसके अलावा कुछ बोलना है तो बोलो।
42.96,5.119,पुलिस तो पढ़ाई नहीं है। चाचा जी मेरी बात
45.52,4.4,तो सुन लीजिए। नहीं नहीं नहीं। तुम इनकी
48.079,4.041,तरफदारी करना चाहते हो तो मुझे कुछ नहीं
49.92,5.92,सुनना।
52.12,6.84,पुलिस है देखिए चाचा जी एक ईमानदार पुलिस
55.84,5.28,ऑफिसर आपसे रिक्वेस्ट कर रहा है। आपकी
58.96,5.12,उम्र का लिहाज कर रहा है। आप उसकी बात
61.12,5.359,नहीं सुन रहे।
64.08,5.8,एक बार बात तो सुन लीजिए। सुन लीजिए ना
66.479,3.401,बाबू जी प्लीज।
69.92,6.32,ठीक है। बोल। देखो चाचा जी। सर एक टोली है
74.4,3.92,जो सीट होम बंगलोलों की दीवार फाल के अंदर
76.24,4.239,गई है। मुझे पक्का यकीन है सर ये चोरी
78.32,4.479,करने गया अंदर। किसी ने भागने की कोशिश की
80.479,5.201,तो खैर नहीं है तुम्हारी। हमको क्या जरूरत
82.799,4.881,है किसी के भी घर में जाकर चोरी करने की?
85.68,3.68,मिस्टर आर्य कानून की आंखों के सामने
87.68,3.479,पट्टी बंधी होती है। वो कुछ नहीं देखता ना
89.36,5.68,दोस्त ना
91.159,6.6,रिश्तेदार। वो सिर्फ सबूत देखता है। सबूत
95.04,4.56,है? उस पेड़ के चरणों में हमने सिर्फ ₹30
97.759,4.72,ही नहीं रखे। एक चिट्ठी भी रखी है। रखी
99.6,5.519,होगी तब मिलेगी ना। अरे नहीं पंडित जी
102.479,7.92,हमने रखी थी। जमीन निगल गई है। आसमान खा
105.119,9.561,गया। चलो पंडित जी। मिल गया सबूत वो देखिए
110.399,4.281,हमारा सबूत उड़ के जा रहा है
114.89,5.189,[संगीत]
116.079,6.72,यू ऑल आर इनोसेंट पीपल पांडे जी वो देखिए
120.079,6.68,कोई सच में चोर तो नहीं है अंदर ये देखो
122.799,3.96,देखो देखो लगता है चोर है
127.8,5.72,अरे आप लोगों ने जो पुलिस की मदद की है
131.28,5.2,उसके लिए हम आभार प्रकट करते हैं। थैंक
133.52,5.28,यू। चाचा जी। मैं मानता हूं ये लोग जो आधी
136.48,4.759,रात को बिना बताए नींबू ढूंढे निकल गए थे।
138.8,5.99,ये गलती तो की
141.239,5.561,है। और उस गलती की सजा मिलनी भी चाहिए।
144.79,4.169,[संगीत]
146.8,5.2,लेकिन नींबू के चक्कर में इन लोगों ने
148.959,5.911,बहुत बड़ा काम किया है। एक बहुत बड़े चोर
152.0,7.259,के गैंग को पकड़वाने में मदद की है।
154.87,4.389,[संगीत]
159.519,5.841,इसलिए यह सब माफी के हकदार बनते हैं।
163.44,5.159,आप इन लोगों को माफ कर दीजिए और ये दरवाजा
165.36,3.239,खोल दीजिए।
170.16,3.56,हां बापू जी प्लीज माफ कर दीजिए ना प्लीज।
172.319,6.56,प्लीज प्लीज
173.72,9.0,प्लीज बबीता आई एम सॉरी। हां माधवी माफ
178.879,6.961,करना प्लीज। हां अंजलि वादा करते हैं आज
182.72,5.12,से ऐसी गलती कभी नहीं दोहराएंगे। कोमल मैं
185.84,5.6,आगे से कहीं भी जाऊंगा तुम्हें बता के
187.84,6.16,जाऊंगा। कुशन माय डार्लिंग उनते मन जा
