Start Time (s),Duration (s),Text
0.16,5.719,तारक मेहता का उल्टा चश्मा
5.92,4.88,बाबा हमने आचार के लिए नींबू निकाल लिए।
8.8,4.719,गोकुलधाम वासियों को भी नींबू दे दिए। फिर
10.8,5.68,भी इतने सारे नींबू बच गए। अब इनका क्या
13.519,5.041,करें? कोई बात नहीं मैंने सोच लिया है।
16.48,5.2,मार्केट में ये नींबू हम लोग बेचेंगे। वो
18.56,5.6,भी मार्केट से सस्ते दामों में। हां बराबर
21.68,4.88,है। वैसे भी फ्री मिले हैं। जो भी पैसा
24.16,5.959,मिलेगा वो प्रॉफिट ही है ना? लेकिन
26.56,3.559,बेचेंगे किसे?
30.24,6.159,मी काका मिटे सुनीता को फ़ करते हैं। वो
33.36,5.28,सारे नींबू खरीद लेगी। कमाल है माधवी
36.399,5.041,कोल्हापुर से कब आएगी सुनीता और कब नींबू
38.64,4.239,खरीदेगी? सुनीता कोल्हापुर गई है? मुझे
41.44,2.639,नहीं बोला। अरे जब से अभिविनाश की
42.879,4.801,ट्रांसफर हुई है वहां पे। दोनों वहीं पे
44.079,5.601,सेटल हो गए ना। आहो मैं मेरी बहन की बात
47.68,4.0,नहीं कर रही हूं। सुनीता सब्जी वाली की
49.68,3.92,बात कर रही हूं।
51.68,4.32,ओह अच्छा मुझे लगा तुम अपनी बहन सुनीता की
53.6,4.0,बात कर रही हो। लेकिन ये मस्त आईडिया है।
56.0,3.52,सुविधा को सस्ते में नींबू मिलेंगे ना तो
57.6,5.84,उसको भी फायदा होगा। लगाओ लगाओ फ़ लगाओ।
59.52,6.84,हां मतलब फ़ोन कुठे गिराए?
63.44,8.16,स्पीकर पे रखो। हां। हां।
66.36,7.64,[संगीत]
71.6,5.04,हां माधवी वही नहीं। बोला। आपके पास नींबू
74.0,5.0,है क्या? नहीं है। आपको नींबू चाहिए तो
76.64,5.2,बैंक में जाओ। आजकल वही मिलते हैं ना
79.0,3.72,नींबू। सुनीता सुनो तो। ये सुनीता सुनीता
81.84,4.16,ना।
82.72,5.039,सुनीता सुनो तो। अरे ग्राहक को जाने मत
86.0,4.72,देना।
87.759,5.521,नींबू है उनको बोलो नींबू मिल जाएंगे।
90.72,5.2,कैसे मिलेगा वहिनी? नींबू तो मेरे पास
93.28,4.72,नहीं है। अरे पर हमारे पास है ना नींबू?
95.92,5.44,तो ग्राहक को आपके पास भेज दो। नहीं नहीं।
98.0,5.6,तुम उनको हमारे पास मत भेजो। तुम हमसे
101.36,4.399,नींबू खरीद लो ऐसा। हां। हमसे नींबू
