Start Time (s),Duration (s),Text
0.16,7.04,तारक मेहता का उल्टा चश्मा
5.12,5.04,नींबू पानी बनाने में कोई इनकी मदद नहीं
7.2,5.76,करेगा।
10.16,5.92,तुम तुम कहां से आए? कुरमुरा कुमार जी
12.96,6.96,मुझे यहां छोड़ के गए हैं। आप सब पे नजर
16.08,6.0,रखने के लिए। किसी ने भी इनकी मदद की ना
19.92,5.359,तो मैं अभी के अभी कुरमुरा कुमार जी को
22.08,6.24,फोन करके सब बता दूंगा। अरे नहीं भाई नहीं
25.279,6.481,कोई मदद नहीं करेगा इनकी।
28.32,5.6,जेठालाल मेहता साहब आप दोनों जाइए और खुद
31.76,4.57,ही देख लीजिए नींबू पानी कैसे बनाना है
33.92,3.84,देना है। हां
36.33,4.069,[संगीत]
37.76,6.04,हां जाइए आप दोनों के पास बहुत कम टाइम
40.399,3.401,बचा है।
44.079,8.64,अरे हटी को देख क्या रहा है? जा जल्दी जा।
46.8,8.8,हां चलिए मता सब। चलो। जाओ जल्दी आओ। हां।
52.719,5.881,चलो। कुरमुरा कुमार जी का बैनर ठीक कर
55.6,3.0,देते।
60.8,7.48,अभी आप कौन? सेव कुरमुरा के चना सिंह। हम
64.32,3.96,तो छाछ पीने आए हैं।
70.79,7.439,[संगीत]
80.08,4.719,मैं यहीं आसपास हूं। मेरी नजर है आप लोगों
82.72,4.56,पर।
84.799,5.881,खबरदार अगर किसी ने भी उस चना कुमार की
87.28,3.4,मदद की तो
96.88,5.599,ये दोनों पार्टी वाले वोट के लिए हमें
99.36,6.0,कितना टेंशन दे रहे हैं।
102.479,6.481,इन दोनों नेताओं के बीच हम फंस गए। फंस
105.36,6.64,नहीं गए बट गए हैं।
108.96,7.6,सही बात है। हम गोकुलधाम वासी हमेशा एक
112.0,6.719,रहने वाले अलग-अलग पार्टी में बट गए हैं।
116.56,5.12,जेठा अंकल सना कुमार जी से मदद नहीं लेते
118.719,4.961,तो ये सब कुछ होता ही नहीं। इसीलिए जीवन
121.68,5.84,में किससे मदद लेनी चाहिए उसका ज्ञान होना
123.68,5.84,भी जरूरी है। पर अब सही बात है। कुछ नेता
127.52,3.84,सिर्फ बोलते हैं कि हम लोग जनता की सेवा
129.52,4.16,करेंगे। लेकिन असल में सब दिखावा होता है।
131.36,4.879,दिखावा।
133.68,5.04,ये दोनों पार्टीज ने ना हमारे साथ बहुत
136.239,5.08,बड़ी चाल चली है।
138.72,5.84,अरे इन नेताओं को जो चाल चलनी है वो चलने
141.319,6.681,दो। जनता उसी को वोट करेगी जो उन्हें
144.56,6.56,अच्छा और सच्चा लगेगा। जो देश और गरीबों
148.0,7.2,के लिए काम करेगा। हम्म यस।
151.12,7.839,बिल्कुल। जनता बहुत समझदार है। जनता हमेशा
155.2,7.039,सही उम्मीदवार को ही वोट देंगे। यस। हम्।
158.959,7.321,बातें। पता नहीं था। यह छाछ केंद्र हमारे
162.239,8.321,लिए टेंशन केंद्र बन जाएगा।
166.28,7.8,"सच, हवे जो छाछ सेवा और नींबू पानी सेवा"
170.56,5.84,यह दोनों में कंपटीशन होगा।
174.08,4.879,एक तरफ चना कुमार जी का बैनर लगेगा और
176.4,5.52,दूसरी तरफ खुरमुरा कुमार जी का।
178.959,7.041,देखना ये चना कुमार जी का बैनर सामने लगते
181.92,9.039,ही बहुत बड़ा हंगामा होने वाला है।
186.0,8.0,असली चुनावी दंगल तो अब शुरू होगा।
190.959,6.241,ओ खोटाई जी ये दोनों नेता हमारे अच्छेपन
194.0,6.56,का कितना फायदा उठा रहे हैं। हम
197.2,5.6,ओह गॉड अब इस जाल से कैसे बचें?
200.56,4.24,इनके जाल से बचने का एक ही उपाय है। मैंने
202.8,4.56,पहले भी कह चुका हूं कि छाछ वितरण केंद्र
204.8,4.799,बंद करते हैं और घर जाते हैं। नहीं नहीं
207.36,4.08,फिर अंकल अभी बहुत छाछ बाकी है और जब तक
209.599,3.761,छाछ खत्म नहीं होती है तब तक हम नहीं जा
211.44,6.0,सकते हैं।
213.36,7.4,हम 4:00 बजे तक छाछ वितरण नहीं रोकेंगे।
217.44,3.32,वितरण करा
224.66,5.18,[संगीत]
226.64,7.44,वैसे सोचने जाए तो ये सब टेंशन में एक बात
229.84,6.64,अच्छी हुई है। क्या हमारे इस छाछ और नींबू
234.08,5.6,पानी वितरण से सबसे ज्यादा फायदा तो इन
236.48,5.119,प्यासे गरीबों का हो रहा है। हां वो तो
239.68,4.43,है। ये भर के रखो। आ रहे हैं वो बाहर भर
241.599,8.34,के रखो। आइए।
244.11,5.829,[संगीत]
254.4,5.799,मेहरबानी करके ये ठंडी चाय देना बंद मत
257.199,3.0,करना।
260.89,4.47,[संगीत]
262.88,6.2,"हां, हम सबको ये धूप में चाय पीने से बहुत"
265.36,3.72,राहत मिलती है।
269.36,5.92,भिंडी मास्टर सुना।
271.919,6.0,आप टेंशन मत लीजिए। हम लोग छाछ वितरण बंद
275.28,7.479,नहीं करेंगे। हां।
277.919,4.84,हम सब कल भी आएंगे। हां। हां।
290.08,4.08,पता नहीं ये जेठालाल और मेहता साहब एक
292.24,4.72,"घंटे में नींबू, पानी मंडप का बंदोबस्त"
294.16,5.039,कैसे करेंगे? मेहता साहब एक घंटे में इतना
296.96,4.08,सारा इंतजाम कैसे होगा? एक काम करते हैं।
299.199,3.601,"काम डिवाइड कर लेते हैं। तुम नमक, शक्कर,"
301.04,6.48,"पानी, गिलास और बर्फ का इंतजाम करो। मैं"
302.8,4.72,नींबू का इंतजाम करता हूं। ओके। और मंडप
308.759,7.241,मंडप मर गए। क्या हुआ? बॉस का
312.199,5.481,फ़ोन। किसके बॉस का? मेरे बॉस का। अरे उनको
316.0,4.479,अभी क्या है? उनको बोल दो। आप फ्री नहीं
317.68,4.64,है। ठीक-ठाक लाल। अरे मेहता साहब प्लीज
320.479,4.641,अभी आप मुझे मजधार में छोड़ के चले मत
322.32,4.719,जाना। प्लीज। पहले ये तो पता चले कि बॉस
325.12,5.12,बारगांव से वापस आ गए। अभी भी बारगांव ही
327.039,6.16,है। बॉस बारगांव है। हां लेकिन लगता है कि
330.24,4.04,अभी आ गए।
333.199,7.321,जी
334.28,6.24,बॉस मैं फ़ उठाने में इतनी देर
340.8,4.88,सॉरी बॉस थर्ड एम्प्लई का फेवरेट डायलॉग
344.08,4.88,साड़ी
345.68,5.04,सॉरी फिर से साड़ी फिर से साड़ी आई हेट दिस
348.96,3.36,वर्ड साड़ी
350.72,5.199,अच्छा सुनो अब जो मैं कह रहा हूं वो ध्यान
352.32,5.599,से सुनो टूटी फ्रूटी कंपनी का फाइल निकालो
355.919,5.801,उसका एग्रीमेंट का जो डेट है ना वो डेट
357.919,3.801,मुझे जल्दी बताओ इमीडिएटली
363.039,7.841,अरे मैते आज बताएगा या मैं कल फ़
367.4,5.32,करूं? बॉस। अरे मैंने कविता लिखने के लिए
370.88,4.08,नहीं बोला है तेरे को मैंते। मैंने
372.72,5.68,एग्रीमेंट का डेट पूछा है। डेट क्या था
374.96,7.679,एग्रीमेंट का? फाइल देख के वो बताओ मुझे।
378.4,6.88,सॉरी बॉस। फिर से सॉरी। ये तुम मुझे
382.639,5.761,बार-बार सॉरी बोल के चढ़ा रहे हो क्या?
385.28,5.84,नहीं बॉस। मैं आपको सॉरी इसलिए बोल रहा
388.4,5.44,हूं क्योंकि मैं अभी आपको एग्रीमेंट की
391.12,5.16,डेट नहीं बता सकता।
393.84,6.76,क्यों? क्योंकि
396.28,7.18,वो मैं अभी ऑफिस में नहीं हूं।
400.6,5.439,क्या तुम ऑफिस में नहीं
403.46,7.42,[संगीत]
406.039,7.241,हो? वाह मैंते। वाह वाह वाह वाह। भाई
410.88,6.159,तुम्हारा बॉस आउट ऑफ टाउन क्या किया कि
413.28,6.639,तुम आउट ऑफ ऑफिस चले गए? तुम्हें तो मोस्ट
417.039,5.761,बेईमान एम्प्लई ऑफ द मंथ का अवार्ड मिलना
419.919,6.161,चाहिए।
422.8,6.239,मैं तो अच्छा मैं अगर तुम ऑफिस में नहीं
426.08,7.119,हो तो अभी कहां पढूं?
429.039,6.641,झूठ मत बोलना। सच बोलना। बॉस मेरा एक
433.199,5.521,मित्र मुसीबत में फंसा है। तुम्हारा मित्र
435.68,4.799,मुसीबत में फंसा है। ये तुम्हारा फेवरेट
438.72,5.68,डायलॉग है ना? फेवरेट रीज़न है छुट्टी
440.479,6.881,मांगने का। अगर तुम्हारा ये मित्र बार-बार
444.4,5.199,मुसीबत में फंसता है तो तुम अपने मित्र को
447.36,5.279,बदल क्यों नहीं देते?
449.599,6.72,नहीं बदल सकता बॉस
452.639,8.201,क्योंकि वो मेरा परम मित्र है।
456.319,5.761,तो ठीक है मत बदलो। नौकरी बदल दो।
460.84,3.56,[संगीत]
462.08,4.72,वो भी नहीं बदल सकता बॉस। क्यों भाई?
